# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 119K of event 'task-clock:ppp'
# Event count (approx.): 119732732613
#
# Overhead  Symbol                                            IPC   [IPC Coverage]
# ........  ................................................  ....................
#
     0.16%  [.] IsAbortedTransactionBlockState                -      -            
     0.16%  [.] ReleaseCatCache                               -      -            
     0.16%  [.] errstart                                      -      -            
     0.16%  [.] socket_set_nonblocking                        -      -            
     0.16%  [.] standard_ExecutorRun                          -      -            
     0.16%  [.] BufferLockAcquire                             -      -            
     0.16%  [.] AllocSetDelete                                -      -            
     0.16%  [k] memset_orig                                   -      -            
     0.15%  [k] tcp_tso_segs                                  -      -            
     0.15%  [.] ScanQueryForLocks                             -      -            
     0.15%  [k] __mod_timer                                   -      -            
     0.15%  [.] AfterTriggerFireDeferred                      -      -            
     0.15%  [.] _bt_check_compare                             -      -            
     0.15%  [.] message_level_is_interesting                  -      -            
     0.15%  [.] CreatePortal                                  -      -            
     0.15%  [.] check_stack_depth                             -      -            
     0.15%  [.] 0x000000000017585e                            -      -            
     0.14%  [.] string_hash                                   -      -            
     0.14%  [.] printtup                                      -      -            
     0.14%  [k] ena_com_prepare_tx                            -      -            
     0.14%  [.] GetPortalByName                               -      -            
     0.14%  [.] __sigsetjmp                                   -      -            
     0.14%  [k] memcpy_orig                                   -      -            
     0.14%  [k] tcp_update_recv_tstamps                       -      -            
     0.14%  [.] 0x0000000000175840                            -      -            
     0.14%  [.] RelationIdGetRelation                         -      -            
     0.14%  [.] SetCurrentStatementStartTimestamp             -      -            
     0.14%  [.] choose_custom_plan                            -      -            
     0.14%  [k] net_rx_action                                 -      -            
     0.14%  [k] tcp_ack                                       -      -            
     0.14%  [.] MemoryContextSetParent                        -      -            
     0.14%  [.] resetStringInfo                               -      -            
     0.14%  [.] start_xact_command                            -      -            
     0.13%  [.] RecoveryInProgress                            -      -            
     0.13%  [k] its_return_thunk                              -      -            
     0.13%  [.] ExecBuildProjectionInfo                       -      -            
     0.13%  [.] int4hashfast                                  -      -            
     0.13%  [.] MakeTupleTableSlot                            -      -            
     0.13%  [k] __tcp_select_window                           -      -            
     0.13%  [.] 0x00000000000a03d6                            -      -            
     0.13%  [k] __x64_sys_poll                                -      -            
     0.13%  [.] enlargeStringInfo                             -      -            
     0.13%  [k] tcp_write_xmit                                -      -            
     0.13%  [.] InvalidateCatalogSnapshot                     -      -            
     0.13%  [.] ExecInitIndexScan                             -      -            
     0.13%  [.] pstrdup                                       -      -            
     0.13%  [k] __tcp_cleanup_rbuf                            -      -            
     0.13%  [.] 0x00000000000a01b0                            -      -            
     0.13%  [k] __iowrite64_copy                              -      -            
     0.12%  [.] ExecResetTupleTable                           -      -            
     0.12%  [.] GetCurrentTimestamp                           -      -            
     0.12%  [.] forbidden_in_wal_sender                       -      -            
     0.12%  [.] pq_probe_message_type                         -      -            
     0.12%  [.] PgSessionServiceProtocolReadWake              -      -            
     0.12%  [k] __ip_queue_xmit                               -      -            
     0.12%  [.] update_ps_display_precheck                    -      -            
     0.12%  [.] ResourceOwnerCreate                           -      -            
     0.12%  [.] __poll                                        -      -            
     0.12%  [.] get_hash_value                                -      -            
     0.12%  [k] __sys_recvfrom                                -      -            
     0.12%  [.] AfterTriggerBeginXact                         -      -            
     0.12%  [.] ReadBuffer                                    -      -            
     0.12%  [.] StartTransactionCommand                       -      -            
     0.12%  [.] 0x00000000000a03c2                            -      -            
     0.12%  [.] CatalogCacheComputeHashValue                  -      -            
     0.12%  [.] IndexNext                                     -      -            
     0.12%  [.] _bt_search                                    -      -            
     0.11%  [.] ExecInitFunc                                  -      -            
     0.11%  [.] AcquirePlannerLocks                           -      -            
     0.11%  [.] AtEOXact_RelationCache                        -      -            
     0.11%  [.] ExecPushExprSetupSteps                        -      -            
     0.11%  [.] __errno_location                              -      -            
     0.11%  [.] __send                                        -      -            
     0.11%  [.] 0x000000000008f38e                            -      -            
     0.11%  [.] GetUserId                                     -      -            
     0.11%  [.] pg_server_to_client                           -      -            
     0.11%  [.] smgrdestroyall                                -      -            
     0.11%  [k] __rseq_handle_notify_resume                   -      -            
     0.11%  [.] pq_startmsgread_getbyte                       -      -            
     0.11%  [.] PushActiveSnapshotWithLevel                   -      -            
     0.11%  [.] finalize_in_progress_typentries               -      -            
     0.11%  [.] 0x000000000009eb09                            -      -            
     0.11%  [k] __alloc_skb                                   -      -            
     0.11%  [.] pq_copymsgbytes                               -      -            
     0.11%  [.] 0x00000000000a1d2c                            -      -            
     0.11%  [.] pgstat_report_query_id                        -      -            
     0.11%  [k] syscall_exit_to_user_mode                     -      -            
     0.11%  [k] x64_sys_call                                  -      -            
     0.11%  [.] 0x00000000000a1642                            -      -            
     0.11%  [.] FetchPreparedStatement                        -      -            
     0.11%  [.] VirtualXactLockTableInsert                    -      -            
     0.10%  [k] tcp_wfree                                     -      -            
     0.10%  [.] 0x0000000000172221                            -      -            
     0.10%  [.] AtCommit_Notify                               -      -            
     0.10%  [.] MemoryContextDelete                           -      -            
     0.10%  [.] UnpinBufferNoOwner                            -      -            
     0.10%  [.] IsInParallelMode                              -      -            
     0.10%  [.] SendRowDescriptionMessage                     -      -            
     0.10%  [.] ExecInterpExpr                                -      -            
     0.10%  [.] tts_buffer_heap_clear                         -      -            
     0.10%  [k] __virt_addr_valid                             -      -            
     0.10%  [k] schedule_hrtimeout_range_clock                -      -            
     0.10%  [.] stmt_requires_parse_analysis                  -      -            
     0.10%  [.] PortalRunSelect                               -      -            
     0.10%  [k] __rcu_read_unlock                             -      -            
     0.10%  [.] PreCommit_Notify                              -      -            
     0.09%  [.] AfterTriggerEndXact                           -      -            
     0.09%  [k] __schedule                                    -      -            
     0.09%  [k] skb_release_data                              -      -            
     0.09%  [.] pq_endmessage_reuse                           -      -            
     0.09%  [.] CleanupTempFiles                              -      -            
     0.09%  [.] HistoricSnapshotActive                        -      -            
     0.09%  [.] AtEOXact_PgStat_Database                      -      -            
     0.09%  [k] ktime_get_ts64                                -      -            
     0.09%  [.] getTypeInputInfo                              -      -            
     0.09%  [k] select_estimate_accuracy                      -      -            
     0.09%  [k] tcp_schedule_loss_probe.part.0                -      -            
     0.09%  [.] pq_recvbuf                                    -      -            
     0.09%  [.] PreCommit_Portals                             -      -            
     0.09%  [.] RelationDecrementReferenceCount               -      -            
     0.09%  [.] fmgr_info                                     -      -            
     0.09%  [.] strlcpy                                       -      -            
     0.09%  [k] tcp_recvmsg                                   -      -            
     0.09%  [.] ExecReScan                                    -      -            
     0.09%  [k] ip_output                                     -      -            
     0.09%  [.] memcpy@plt                                    -      -            
     0.09%  [k] tomoyo_socket_sendmsg_permission              -      -            
     0.09%  [.] AtEOXact_RelationMap                          -      -            
     0.09%  [.] CreateExprContextInternal.constprop.0         -      -            
     0.09%  [.] SPI_inside_nonatomic_context                  -      -            
     0.08%  [.] AtEOXact_MultiXact                            -      -            
     0.08%  [.] ExecInitQual                                  -      -            
     0.08%  [.] ProcessClientWriteInterrupt                   -      -            
     0.08%  [.] exprTypmod                                    -      -            
     0.08%  [.] CreateExecutorState                           -      -            
     0.08%  [.] RemoveLocalLock                               -      -            
     0.08%  [.] SearchCatCache1                               -      -            
     0.08%  [.] ReleasePredicateLocks                         -      -            
     0.08%  [.] heapam_index_fetch_tuple                      -      -            
     0.08%  [.] BufferGetBlockNumber                          -      -            
     0.08%  [.] ProcSemaphoreAbsorbExtraWaits                 -      -            
     0.08%  [.] ResourceOwnerReleaseAll                       -      -            
     0.08%  [.] index_beginscan_internal                      -      -            
     0.08%  [.] pgstat_report_stat                            -      -            
     0.08%  [.] RelationClose                                 -      -            
     0.08%  [.] list_free_private                             -      -            
     0.08%  [.] IsSharedRelation                              -      -            
     0.08%  [.] pg_class_aclmask_ext                          -      -            
     0.08%  [.] relation_open                                 -      -            
     0.08%  [.] CheckExprStillValid                           -      -            
     0.08%  [.] GetCommandTagNameAndLen                       -      -            
     0.08%  [.] MemoryContextResetOnly                        -      -            
     0.08%  [k] ktime_get                                     -      -            
     0.08%  [.] pq_putemptymessage                            -      -            
     0.08%  [.] recomputeNamespacePath                        -      -            
     0.08%  [.] GetPrivateRefCountEntrySlow                   -      -            
     0.08%  [.] ResourceOwnerDelete                           -      -            
     0.08%  [k] __local_bh_enable_ip                          -      -            
     0.08%  [.] _bt_checkkeys                                 -      -            
     0.08%  [.] index_endscan                                 -      -            
     0.08%  [.] index_getnext_tid                             -      -            
     0.07%  [.] ReleaseBuffer                                 -      -            
     0.07%  [.] pg_qsort                                      -      -            
     0.07%  [.] AtEOXact_Aio                                  -      -            
     0.07%  [.] AtEOXact_LogicalRepWorkers                    -      -            
     0.07%  [.] ReadyForQuery                                 -      -            
     0.07%  [.] RevalidateCachedQuery                         -      -            
     0.07%  [.] CallXactCallbacks                             -      -            
     0.07%  [.] ExecGetRangeTableRelation                     -      -            
     0.07%  [.] VirtualXactLockTableCleanup                   -      -            
     0.07%  [k] _copy_from_user                               -      -            
     0.07%  [k] tcp_rcv_established                           -      -            
     0.07%  [k] __get_user_8                                  -      -            
     0.07%  [k] cubictcp_cwnd_event                           -      -            
     0.07%  [.] tts_buffer_heap_getsomeattrs                  -      -            
     0.07%  [.] _bt_getroot                                   -      -            
     0.07%  [.] xactGetCommittedInvalidationMessages          -      -            
     0.07%  [.] CopySnapshot                                  -      -            
     0.07%  [k] bpf_skops_write_hdr_opt.isra.0                -      -            
     0.07%  [.] pg_strtoint32_safe                            -      -            
     0.07%  [k] syscall_exit_to_user_mode_prepare             -      -            
     0.07%  [.] MemoryContextCreate                           -      -            
     0.07%  [k] __x64_sys_recvfrom                            -      -            
     0.07%  [.] secure_write                                  -      -            
     0.07%  [k] sk_forced_mem_schedule                        -      -            
     0.07%  [.] 0x00000000000a1a20                            -      -            
     0.07%  [.] ExecInterpExprStillValid                      -      -            
