bench	lane	carriers_req	carriers_eff	clients	tps	p50_ms	p95_ms	p99_ms	max_ms	txn_count	sut_cpu_busy_pct	idle_meaningful	degraded	driver_host	sut_host	shared_buffers_mb	ram_pct	fsync	synchronous_commit	full_page_writes	io_method	data_device	wal_device	libxtc_version	pg_commit	run	stall	notes
select	fork	-	-	8	181823.412600	0.0420	0.0440	0.0530	2.6950	3637189	0	no	yes	ip-172-31-30-124.us-east-2.compute.internal(colocated)	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	unknown	1	no	
select	xtc	auto	8	8	176468.049072	0.0430	0.0460	0.0550	8.1700	3528071	0.25	no	yes	ip-172-31-30-124.us-east-2.compute.internal(colocated)	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	unknown	1	no	
