bench	lane	carriers_req	carriers_eff	clients	tps	p50_ms	p95_ms	p99_ms	max_ms	txn_count	sut_cpu_busy_pct	idle_meaningful	degraded	driver_host	sut_host	shared_buffers_mb	ram_pct	fsync	synchronous_commit	full_page_writes	io_method	data_device	wal_device	libxtc_version	pg_commit	run	stall	notes
select	fork	-	-	8	54855.581573	0.1440	0.1610	0.1820	16.1170	1644675	0	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
select	fork	-	-	16	95930.932516	0.1600	0.2020	0.2240	2.6800	2877305	0	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
select	xtc	auto	8	8	54393.763984	0.1450	0.1650	0.1940	5.6390	1631432	0.25	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
select	xtc	auto	8	16	54704.261550	0.1450	0.1610	0.1810	29979.1640	1639997	0	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
tpcb	fork	-	-	8	6094.687758	1.2470	1.6040	2.6380	15.1030	182773	0.12	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
tpcb	fork	-	-	16	9921.003537	1.5410	2.0770	2.5270	26.3540	297818	0	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
tpcb	xtc	auto	8	8	6444.317799	1.2100	1.4630	1.6860	16.5690	193294	0	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
tpcb	xtc	auto	8	16	6319.243835	1.2340	1.4940	1.7250	29982.4150	189467	0.38	yes	no	ec2-user@172.31.18.93	ip-172-31-30-124.us-east-2.compute.internal	13346	85	on	on	on	sync	/dev/nvme1n1	/dev/nvme1n1	1.43.0	090687ff2735956b776766e974340fb69dd642e9	1	no	
