# file	sha1	names	declaration
src/backend/nodes/copyfuncs.switch.c	9d964d6a407aeba1ce527f25c8c323ab45599847	retval	retval = _copyJsonReturning(from);
src/backend/nodes/copyfuncs.switch.c	f6521951ccda0ce8c556bc87013dd9bf27722aea	retval	retval = _copyJsonValueExpr(from);
src/backend/nodes/copyfuncs.switch.c	2da1b514a1f29c5c69094a7c9d9f22e32485cc05	retval	retval = _copyJsonConstructorExpr(from);
src/backend/nodes/copyfuncs.switch.c	da091ef60a1259a3119d72d41628454b9887df4e	retval	retval = _copyJsonIsPredicate(from);
src/backend/nodes/copyfuncs.switch.c	894f5094a894c574e1af915eea84b5f8c0deaa96	retval	retval = _copyJsonBehavior(from);
src/backend/nodes/copyfuncs.switch.c	c2e9571a36965b722670713b264eb80849bbabf7	retval	retval = _copyJsonExpr(from);
src/backend/nodes/copyfuncs.switch.c	0834b030a3399377633c46cbcdc3c52eacb1d188	retval	retval = _copyJsonTablePath(from);
src/backend/nodes/copyfuncs.switch.c	a4ca731e3d1f57fa4e676861a19c54566859d1e8	retval	retval = _copyJsonTablePathScan(from);
src/backend/nodes/copyfuncs.switch.c	3c8e30ddbf52faf2714659428e1105d41f070083	retval	retval = _copyJsonTableSiblingJoin(from);
src/backend/nodes/copyfuncs.switch.c	3e8a65c3705490e9bd4b255923dba26c8246d3b8	retval	retval = _copyNullTest(from);
src/backend/nodes/copyfuncs.switch.c	b24e3bab92e95733b2f9a1cf5df7edc8e47dd76a	retval	retval = _copyBooleanTest(from);
src/backend/nodes/copyfuncs.switch.c	a0ac977f0f951b9650572be928fb69371471012d	retval	retval = _copyMergeAction(from);
src/backend/nodes/copyfuncs.switch.c	0fefc4fdfad0a4f660dcee0fd113ad01efb4ce2a	retval	retval = _copyCoerceToDomain(from);
src/backend/nodes/copyfuncs.switch.c	363336ad8ce61070a4115a8a6c802c40db6703bf	retval	retval = _copyCoerceToDomainValue(from);
src/backend/nodes/copyfuncs.switch.c	fd1e2f0f18b852f5312c25c9a56350e4090c116c	retval	retval = _copySetToDefault(from);
src/backend/nodes/copyfuncs.switch.c	496dfc0e7100dfc520cc56f0e494aea8ef91e1d4	retval	retval = _copyCurrentOfExpr(from);
src/backend/nodes/copyfuncs.switch.c	04e521deda98e2be14b4c700767a1ce235f69c09	retval	retval = _copyNextValueExpr(from);
src/backend/nodes/copyfuncs.switch.c	84047f1549269ad8a36f1dd862a05d54225b8ad0	retval	retval = _copyInferenceElem(from);
src/backend/nodes/copyfuncs.switch.c	0e856464e24573b1422e30088b3c9722e84a7cd2	retval	retval = _copyReturningExpr(from);
src/backend/nodes/copyfuncs.switch.c	9d71edf13f61b2b5d9562c811c2730c9cc3f4663	retval	retval = _copyGraphLabelRef(from);
src/backend/nodes/copyfuncs.switch.c	4a37c9b7ae85f88126b269fda92caa0591bb176f	retval	retval = _copyGraphPropertyRef(from);
src/backend/nodes/copyfuncs.switch.c	29e0f042bf7ebf82dbbfedb158590fe1aa0a1e52	retval	retval = _copyTargetEntry(from);
src/backend/nodes/copyfuncs.switch.c	8174f01d509195d96a9eff129bab4a65d48efbb9	retval	retval = _copyRangeTblRef(from);
src/backend/nodes/copyfuncs.switch.c	75a1eb2ba3e815332de8263af8a66e64eda547e5	retval	retval = _copyJoinExpr(from);
src/backend/nodes/copyfuncs.switch.c	1380ffc05712165a75f8d41de695b4a783d0225b	retval	retval = _copyFromExpr(from);
src/backend/nodes/copyfuncs.switch.c	305b994a38d5c545ca0c9d8383a9494e9e9109aa	retval	retval = _copyOnConflictExpr(from);
src/backend/nodes/copyfuncs.switch.c	18643460cac3022a2272491d5e10c6a3b5bad39b	retval	retval = _copyForPortionOfExpr(from);
src/backend/nodes/copyfuncs.switch.c	c8398226826dd94cb49af5cae36d71e99000c4b5	retval	retval = _copyQuery(from);
src/backend/nodes/copyfuncs.switch.c	d68da8728ac8c3e134861637e7513f51f4109bc9	retval	retval = _copyTypeName(from);
src/backend/nodes/copyfuncs.switch.c	a52a829176d18c590205bb504efc270f38f5d19b	retval	retval = _copyColumnRef(from);
src/backend/nodes/copyfuncs.switch.c	85133efe560dafe81146c4a8fbd7e2a439813012	retval	retval = _copyParamRef(from);
src/backend/nodes/copyfuncs.switch.c	4eae399943721785c823e389425a9b353db08659	retval	retval = _copyA_Expr(from);
src/backend/nodes/copyfuncs.switch.c	75b4af70072795aa1d641eff938f6aad40c69a0b	retval	retval = _copyA_Const(from);
src/backend/nodes/copyfuncs.switch.c	923501af540729bf96b6a3dafa549f4aee3ef090	retval	retval = _copyTypeCast(from);
src/backend/nodes/copyfuncs.switch.c	4026986b31c0ac9f918e0295266ede6f0d13f839	retval	retval = _copyCollateClause(from);
src/backend/nodes/copyfuncs.switch.c	4f6fc8dc6d055be122e89336e14804cfee93b9d1	retval	retval = _copyRoleSpec(from);
src/backend/nodes/copyfuncs.switch.c	750a46600fb3413efe603e17bc91c66ff2c3bade	retval	retval = _copyFuncCall(from);
src/backend/nodes/copyfuncs.switch.c	b84359536a4e47dd97b134520af3ce5e403a583f	retval	retval = _copyA_Star(from);
src/backend/nodes/copyfuncs.switch.c	441a5b8e9e735e4ace74baf2d15326461395f19f	retval	retval = _copyA_Indices(from);
src/backend/nodes/copyfuncs.switch.c	28d8f5f15c73cd6f1db4251f036bf7abc75a49c4	retval	retval = _copyA_Indirection(from);
src/backend/nodes/copyfuncs.switch.c	e85121a35b858cdc2ff3dfeb0ea3e972fe88853d	retval	retval = _copyA_ArrayExpr(from);
src/backend/nodes/copyfuncs.switch.c	020707388ce4e1432fdddd283428004edf510aaf	retval	retval = _copyResTarget(from);
src/backend/nodes/copyfuncs.switch.c	3eca66efbfb8c4dcec04d6cf3a0ca9dfb564db15	retval	retval = _copyMultiAssignRef(from);
src/backend/nodes/copyfuncs.switch.c	dbd03e160e19aa9530f82de3b9cc32b722bf6888	retval	retval = _copySortBy(from);
src/backend/nodes/copyfuncs.switch.c	88e76319f5e016dfb57c8a2f1a09de43fb49285a	retval	retval = _copyWindowDef(from);
src/backend/nodes/copyfuncs.switch.c	0f55b5bfecf83b2ea8e70f6bfefc7f139d376345	retval	retval = _copyRangeSubselect(from);
src/backend/nodes/copyfuncs.switch.c	9876763400cb0a2027d3497dc6c6dcfb985ed042	retval	retval = _copyRangeFunction(from);
src/backend/nodes/copyfuncs.switch.c	f81b30d3284f27fc297811365027d318e0b94c46	retval	retval = _copyRangeTableFunc(from);
src/backend/nodes/copyfuncs.switch.c	0c61aa56ac6f99560884e21f83076e7afec37633	retval	retval = _copyRangeTableFuncCol(from);
src/backend/nodes/copyfuncs.switch.c	c7506edb833a496e3a463cc99bb392c6283c4acc	retval	retval = _copyRangeGraphTable(from);
src/backend/nodes/copyfuncs.switch.c	6b8584dd6b98f51f5ec43c2aa702d642fb2ecbde	retval	retval = _copyRangeTableSample(from);
src/backend/nodes/copyfuncs.switch.c	9f041cc3dda0af4d4ea931bfd5ed2d056df60df3	retval	retval = _copyColumnDef(from);
src/backend/nodes/copyfuncs.switch.c	2264558536d09b2ae0a0f5c674b8828fa8dc2dff	retval	retval = _copyTableLikeClause(from);
src/backend/nodes/copyfuncs.switch.c	85e6af9739294a0b2e0d3e51c7868f8bf74823be	retval	retval = _copyIndexElem(from);
src/backend/nodes/copyfuncs.switch.c	c6ed1eb58bccfb503a73d19f26942e746dfa9548	retval	retval = _copyDefElem(from);
src/backend/nodes/copyfuncs.switch.c	22e26794e7b7f5e5385d88778a9743bf41598785	retval	retval = _copyLockingClause(from);
src/backend/nodes/copyfuncs.switch.c	99234efec612933864ad355ffba04145c23d420b	retval	retval = _copyXmlSerialize(from);
src/backend/nodes/copyfuncs.switch.c	43ae1c5de29a5ddb8c624bf6be646371059c234f	retval	retval = _copyPartitionElem(from);
src/backend/nodes/copyfuncs.switch.c	73ea4b72753a10c3138b834c0503b866562c3682	retval	retval = _copyPartitionSpec(from);
src/backend/nodes/copyfuncs.switch.c	e88cabf7db5cb189a3adcc45466891bd3d8a81c2	retval	retval = _copyPartitionBoundSpec(from);
src/backend/nodes/copyfuncs.switch.c	01f0cde99378836f3e45bd3cee5c889bc386f62a	retval	retval = _copyPartitionRangeDatum(from);
src/backend/nodes/copyfuncs.switch.c	dc41de3343528808bb06e99b6a81f704fcaf9adc	retval	retval = _copySinglePartitionSpec(from);
src/backend/nodes/copyfuncs.switch.c	1d414ec8fade17e66e2585b510c27c2390646a7e	retval	retval = _copyPartitionCmd(from);
src/backend/nodes/copyfuncs.switch.c	5e2a3bf6811488ff1f7b09893f190878a02bc70f	retval	retval = _copyGraphPattern(from);
src/backend/nodes/copyfuncs.switch.c	0ca36fbe6e331bbd75d1705f002a7479a528c29e	retval	retval = _copyGraphElementPattern(from);
src/backend/nodes/copyfuncs.switch.c	763db37ab19ba6c813ddddb04e254b98e0f3b2a9	retval	retval = _copyRangeTblEntry(from);
src/backend/nodes/copyfuncs.switch.c	9a9a11adb522c8234f6890da9b4a3ac031e56543	retval	retval = _copyRTEPermissionInfo(from);
src/backend/nodes/copyfuncs.switch.c	7ce43a4468807f394c6a45e9cce0d75062b7bb12	retval	retval = _copyRangeTblFunction(from);
src/backend/nodes/copyfuncs.switch.c	c82531de5355c98bf987ebb2166d5eef9b819052	retval	retval = _copyTableSampleClause(from);
src/backend/nodes/copyfuncs.switch.c	3b955bad4ca1bf81c0c01d427e71c094b7058540	retval	retval = _copyWithCheckOption(from);
src/backend/nodes/copyfuncs.switch.c	5b66c3372b7905c0495dc3a55e1c166e14b5970d	retval	retval = _copySortGroupClause(from);
src/backend/nodes/copyfuncs.switch.c	c4dbb5f295366b9d371c9a8f1bc68324037841db	retval	retval = _copyGroupingSet(from);
src/backend/nodes/copyfuncs.switch.c	9473c002087ae01b5b0002d43ff5f5ad6a95ace3	retval	retval = _copyWindowClause(from);
src/backend/nodes/copyfuncs.switch.c	059f4169838aeefdce256be14b894398a4897ac4	retval	retval = _copyRowMarkClause(from);
src/backend/nodes/copyfuncs.switch.c	c51ac8dc40e857cc93072453cdf25168141418fe	retval	retval = _copyForPortionOfClause(from);
src/backend/nodes/copyfuncs.switch.c	a84d1fa49319daffbc3c87b046b3de8cbc8ad4af	retval	retval = _copyWithClause(from);
src/backend/nodes/copyfuncs.switch.c	a8ac3a61652900c389c5210fdde756d1544a8eec	retval	retval = _copyInferClause(from);
src/backend/nodes/copyfuncs.switch.c	fe9221e419dc5aa87d6aa214a5509011eab13dec	retval	retval = _copyOnConflictClause(from);
src/backend/nodes/copyfuncs.switch.c	a569b3e11d13fcf5c183b370b2aca33e1d24773e	retval	retval = _copyCTESearchClause(from);
src/backend/nodes/copyfuncs.switch.c	3d911a8f63c2366b4c5e5f2c5dd104d92778bef2	retval	retval = _copyCTECycleClause(from);
src/backend/nodes/copyfuncs.switch.c	9e23bfba105bad0ec56f5204039a4e6454689d14	retval	retval = _copyCommonTableExpr(from);
src/backend/nodes/copyfuncs.switch.c	1cff28866f669d118f45e69a4c798fd2fdebfc28	retval	retval = _copyMergeWhenClause(from);
src/backend/nodes/copyfuncs.switch.c	7dcfc844ef96850980bccf5a4452433c3b7d9707	retval	retval = _copyReturningOption(from);
src/backend/nodes/copyfuncs.switch.c	6c092ba11d35961937b318f37a4d7dbc4c504128	retval	retval = _copyReturningClause(from);
src/backend/nodes/copyfuncs.switch.c	39c30a7b54b90e4679000a13a27d33526a26e0c4	retval	retval = _copyTriggerTransition(from);
src/backend/nodes/copyfuncs.switch.c	1f53bd7ed498d6e6057119c54dcbde3b07694c9f	retval	retval = _copyJsonOutput(from);
src/backend/nodes/copyfuncs.switch.c	f6d4c0e0271a91a9e8ed6190c7ba5032c01d9555	retval	retval = _copyJsonArgument(from);
src/backend/nodes/copyfuncs.switch.c	9fdd320f32f0869be9dbf3c8f344920a43e830ca	retval	retval = _copyJsonFuncExpr(from);
src/backend/nodes/copyfuncs.switch.c	cc751e410a25e25530d2b69b13be7096d634ffe9	retval	retval = _copyJsonTablePathSpec(from);
src/backend/nodes/copyfuncs.switch.c	4e6912b5b346b6a0164211e0451a7ab52eeea51d	retval	retval = _copyJsonTable(from);
src/backend/nodes/copyfuncs.switch.c	3e4daeee986b599909dba733213d55c2263b5c77	retval	retval = _copyJsonTableColumn(from);
src/backend/nodes/copyfuncs.switch.c	7740628050d5ed09da4bfd4500bfcd7adf1ec69a	retval	retval = _copyJsonKeyValue(from);
src/backend/nodes/copyfuncs.switch.c	1597289efb9e38239a029ecd7ec037261b58b1ea	retval	retval = _copyJsonParseExpr(from);
